"Media And Storage Devices",Label,"Asset Name(s)","Threat Source","Threat Event",Vulnerability,Control,"NIST Family","NIST Family ID","Created Date","Updated Date",Global,Media
"USB key or flash drive",,TestingAsset,"Careless User","Loss of Equipment","Endpoint Leakage","Device Handling Policy and Procedures",,,"08/02/2018 02:28","08/02/2018 02:28",Yes,Yes
"USB key or flash drive",,TestingAsset,"Careless IT Personnel","Improper Destruction, Disposal or Reuse of Storage Media","Destruction/Disposal Deficiencies","Device Re-use and Disposal Policy and Procedures",,,"08/02/2018 02:18","08/02/2018 02:18",Yes,Yes
Pager,,"Pager Media","Careless User","Loss of Equipment","Endpoint Leakage","Device Handling Policy and Procedures",,,"08/02/2018 02:28","08/02/2018 02:28",Yes,Yes
Pager,,"Pager Media","Careless IT Personnel","Improper Destruction, Disposal or Reuse of Storage Media","Destruction/Disposal Deficiencies","Device Re-use and Disposal Policy and Procedures",,,"08/02/2018 02:18","08/02/2018 02:18",Yes,Yes
Laptop,,TestingAsset,"System Cracker","Theft of Sensitive Data","User Authentication Deficiencies","Accounts Lock After Too Many Failed Logins",,,"08/02/2018 02:17","08/02/2018 02:17",TBD,"In progress"
Laptop,,TestingAsset,"System Cracker","Theft of Sensitive Data","Physical Security Deficiencies","Physical Access Authorization",,,"08/02/2018 02:00","08/02/2018 02:00",Yes,Yes
Laptop,,TestingAsset,"System Cracker","Theft of Sensitive Data","Insecure Network Configuration","Auto Logoff or Auto Screen Locking",,,"08/02/2018 02:18","08/02/2018 02:18",No,No
Laptop,,TestingAsset,"System Cracker","Theft of Sensitive Data","Insecure Network Configuration","Authentication of Network Sessions (as Distinct From Users)",,,"08/02/2018 02:18","08/02/2018 02:18","In progress","In progress"
Laptop,,TestingAsset,"System Cracker","Theft of Sensitive Data","Custom Application Weaknesses","Documented System Development Life Cycle",,,"08/02/2018 02:18","08/02/2018 02:18",Yes,Yes
Laptop,,TestingAsset,"System Cracker","Theft of Sensitive Data","Custom Application Weaknesses","Application Penetration and Vulnerability Testing",,,"08/02/2018 02:17","08/02/2018 02:17",Yes,Yes
Laptop,,TestingAsset,"System Cracker","Theft of Sensitive Data","Custom Application Weaknesses","Application Code Review",,,"08/02/2018 02:17","08/02/2018 02:17","In progress","In progress"
Laptop,,TestingAsset,"System Cracker","Insecure User Management","Dormant Accounts","Access Logging",,,"08/02/2018 02:17","08/02/2018 02:17",Yes,Yes
Laptop,,TestingAsset,Malware,"Theft of Sensitive Data","Anti-malware Deficiencies","Anti-virus Policy and Procedures",,,"08/02/2018 02:17","08/02/2018 02:17",N/A,N/A
Laptop,,TestingAsset,Malware,"Theft of Sensitive Data","Anti-malware Deficiencies","Anti-Malware Software",,,"08/02/2018 02:17","08/02/2018 02:17",No,No
Laptop,,TestingAsset,"Malicious User","Malicious Use of Sensitive Data","Endpoint Leakage","Acceptable Use Policy",,,"08/02/2018 02:17","08/02/2018 02:17",Yes,Yes
Laptop,,TestingAsset,"Careless User","Loss of Equipment","Improper Media/Device Handling","Device Handling Policy and Procedures",,,"08/02/2018 02:28","08/02/2018 02:28",Yes,Yes
Laptop,,TestingAsset,"Careless Software Developer","Insecure Development of Software","Custom Application Weaknesses","Application or Data Partitioning",,,"08/02/2018 02:17","08/02/2018 02:17",No,No
Laptop,,TestingAsset,"Careless IT Personnel","Improper Destruction, Disposal or Reuse of Media","Destruction/Disposal Deficiencies","Device Re-use and Disposal Policy and Procedures",,,"08/02/2018 02:18","08/02/2018 02:18",Yes,Yes
"Disk Array",,TestingAsset,"System Cracker","Theft of Sensitive Data","User Authentication Deficiencies","Accounts Lock After Too Many Failed Logins",,,"08/02/2018 02:17","08/02/2018 02:17",TBD,"In progress"
"Disk Array",,TestingAsset,"System Cracker","Theft of Sensitive Data","Physical Security Deficiencies","Physical Access Authorization",,,"08/02/2018 02:00","08/02/2018 02:00",Yes,Yes
"Disk Array",,TestingAsset,"System Cracker","Theft of Sensitive Data","Insecure Network Configuration","Auto Logoff or Auto Screen Locking",,,"08/02/2018 02:18","08/02/2018 02:18",No,No
"Disk Array",,TestingAsset,"System Cracker","Theft of Sensitive Data","Insecure Network Configuration","Authentication of Network Sessions (as Distinct From Users)",,,"08/02/2018 02:18","08/02/2018 02:18","In progress","In progress"
"Disk Array",,TestingAsset,"System Cracker","Theft of Sensitive Data","Custom Application Weaknesses","Documented System Development Life Cycle",,,"08/02/2018 02:18","08/02/2018 02:18",Yes,Yes
"Disk Array",,TestingAsset,"System Cracker","Theft of Sensitive Data","Custom Application Weaknesses","Application Penetration and Vulnerability Testing",,,"08/02/2018 02:17","08/02/2018 02:17",Yes,Yes
"Disk Array",,TestingAsset,"System Cracker","Theft of Sensitive Data","Custom Application Weaknesses","Application Code Review",,,"08/02/2018 02:17","08/02/2018 02:17","In progress","In progress"
"Disk Array",,TestingAsset,"System Cracker","Insecure User Management","Dormant Accounts","Access Logging",,,"08/02/2018 02:17","08/02/2018 02:17",Yes,Yes
"Disk Array",,TestingAsset,Malware,"Theft of Sensitive Data","Anti-malware Deficiencies","Anti-virus Policy and Procedures",,,"08/02/2018 02:17","08/02/2018 02:17",N/A,N/A
"Disk Array",,TestingAsset,Malware,"Theft of Sensitive Data","Anti-malware Deficiencies","Anti-Malware Software",,,"08/02/2018 02:17","08/02/2018 02:17",No,No
"Disk Array",,TestingAsset,"Malicious User","Malicious Use of Sensitive Data","Endpoint Leakage","Acceptable Use Policy",,,"08/02/2018 02:17","08/02/2018 02:17",Yes,Yes
"Disk Array",,TestingAsset,"Careless Software Developer","Insecure Development of Software","Custom Application Weaknesses","Application or Data Partitioning",,,"08/02/2018 02:17","08/02/2018 02:17",No,No
"Disk Array",,TestingAsset,"Careless IT Personnel","Improper Destruction, Disposal or Reuse of Media","Destruction/Disposal Deficiencies","Device Re-use and Disposal Policy and Procedures",,,"08/02/2018 02:18","08/02/2018 02:18",Yes,Yes
"Desktop or Laptop",,TestingAsset,"System Cracker","Theft of Sensitive Data","User Authentication Deficiencies","Accounts Lock After Too Many Failed Logins",,,"08/02/2018 02:17","08/02/2018 02:17",TBD,Yes
"Desktop or Laptop",,TestingAsset,"System Cracker","Theft of Sensitive Data","Physical Security Deficiencies","Physical Access Authorization",,,"08/02/2018 02:00","08/02/2018 02:00",Yes,Yes
"Desktop or Laptop",,TestingAsset,"System Cracker","Theft of Sensitive Data","Insecure Network Configuration","Auto Logoff or Auto Screen Locking",,,"08/02/2018 02:18","08/02/2018 02:18",No,No
